Principal Components Analysis
Call: principal(r = fl17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC4   RC2  RC10   RC1   RC7   RC6   RC3   RC8   RC9   RC5   h2
brs_2       -0.27  0.34  0.03 -0.28 -0.13  0.11 -0.19  0.01 -0.13  0.42 0.52
brs_3        0.46 -0.19  0.07  0.20  0.11  0.00  0.09  0.16 -0.11 -0.25 0.42
brs_4       -0.28  0.28  0.09 -0.33 -0.16  0.07 -0.09 -0.09 -0.19  0.29 0.44
brs_5        0.41 -0.11 -0.05  0.16  0.21  0.03  0.05  0.07 -0.11 -0.10 0.28
brs_6       -0.37  0.36 -0.01 -0.32 -0.13  0.15 -0.16 -0.07 -0.10  0.32 0.54
narc_1       0.00 -0.06  0.14 -0.11  0.21 -0.13  0.45  0.06 -0.04  0.02 0.30
narc_2      -0.13 -0.03  0.05 -0.12 -0.02 -0.10 -0.38  0.23  0.07  0.01 0.24
narc_3      -0.19  0.49 -0.10 -0.05 -0.07  0.04 -0.16  0.02  0.02  0.11 0.34
narc_4      -0.10  0.31 -0.06 -0.03  0.03  0.00  0.20 -0.06  0.10  0.07 0.17
narc_5       0.11 -0.02 -0.07  0.01  0.03  0.10  0.18 -0.12 -0.25  0.06 0.14
narc_6      -0.11  0.23 -0.13 -0.02  0.02  0.03 -0.48 -0.02  0.05  0.08 0.32
narc_7       0.17  0.15  0.05  0.00  0.04 -0.03  0.08 -0.33 -0.15  0.32 0.30
narc_8       0.22 -0.12 -0.04 -0.05  0.05  0.11  0.47 -0.05 -0.10 -0.03 0.31
narc_9       0.02  0.21  0.08 -0.18  0.09 -0.02 -0.15 -0.07 -0.20 -0.06 0.16
narc_10     -0.27 -0.06 -0.07  0.05  0.28  0.12  0.22 -0.11  0.14 -0.13 0.27
narc_11      0.03 -0.06  0.01  0.04 -0.04 -0.05  0.05 -0.14 -0.32 -0.12 0.15
narc_12     -0.06  0.00 -0.14 -0.11  0.04  0.00  0.13 -0.09 -0.13  0.17 0.11
narc_13     -0.11 -0.12  0.16  0.09  0.34  0.11  0.00  0.00 -0.14 -0.09 0.22
narc_14     -0.11  0.08 -0.05 -0.04  0.18  0.15  0.02 -0.22  0.03  0.32 0.23
sc.now_1R   -0.17  0.48  0.09 -0.20  0.09 -0.12 -0.09  0.12 -0.04  0.27 0.42
sc.now_2R   -0.17  0.50  0.11 -0.23  0.00 -0.07  0.00 -0.07 -0.07  0.13 0.38
sc.now_3R   -0.15  0.56  0.04 -0.29 -0.10 -0.02 -0.03 -0.06 -0.07  0.23 0.49
sc.now_4     0.40 -0.18  0.15  0.32  0.03  0.05  0.06  0.00 -0.06 -0.29 0.41
sc.now_5R   -0.19  0.46  0.06 -0.38  0.01 -0.12  0.01 -0.09 -0.07  0.28 0.50
sc.now_6R   -0.15  0.55  0.13 -0.20  0.10 -0.05 -0.04 -0.08 -0.10  0.33 0.52
sc.now_7R   -0.17  0.52  0.01 -0.24 -0.08  0.04 -0.09 -0.09 -0.14  0.20 0.44
sc.now_8     0.15 -0.34 -0.10  0.28  0.11  0.15  0.00 -0.01 -0.09 -0.13 0.29
sc.now_9R   -0.10  0.41  0.01 -0.33  0.02 -0.02  0.01 -0.05 -0.17  0.16 0.35
sc.now_10R  -0.19  0.43  0.00 -0.32 -0.02 -0.07 -0.04 -0.14 -0.23  0.19 0.44
              u2 com
VMItrain_1  0.73 4.4
VMItrain_2  0.67 5.4
VMItrain_3  0.78 3.3
VMItrain_4  0.67 4.0
val_1       0.60 2.2
val_2       0.69 3.1
val_3       0.79 1.8
val_4       0.76 5.2
val_5       0.65 6.3
val_6       0.71 3.2
val_7       0.75 3.3
val_8       0.70 2.5
val_9       0.72 3.1
val_10      0.68 3.6
val_11      0.78 4.7
val_12      0.56 2.2
val_13      0.77 3.6
val_14      0.79 6.1
val_15      0.56 2.6
val_16      0.66 3.1
val_17      0.68 3.8
val_18      0.76 4.6
val_19      0.81 3.7
val_20      0.80 2.5
val_21      0.61 3.9
uh_1        0.59 1.4
uh_2        0.46 2.1
uh_3        0.55 1.4
uh_4        0.57 2.9
uh_5        0.44 3.2
uh_6        0.57 1.5
uh_7        0.56 2.1
uh_8        0.60 2.9
uh_9        0.50 1.2
uh_10       0.48 2.7
uh_11       0.56 1.4
uh_12       0.58 1.6
uh_13       0.57 5.5
uh_14       0.53 1.4
uh_15       0.55 3.6
uh_16       0.61 3.2
uh_17       0.51 1.5
uh_18       0.53 2.7
uh_19       0.68 3.3
uh_20       0.63 1.4
uh_21       0.42 4.0
uh_22       0.54 1.6
uh_23       0.63 4.1
uh_24       0.54 1.4
uh_25       0.58 1.3
ili_1       0.53 1.5
ili_2       0.60 3.0
ili_3       0.68 5.0
ili_4       0.59 4.0
ili_5       0.57 1.5
ili_6       0.75 5.5
ili_7       0.55 2.4
ili_8       0.57 2.1
ili_9       0.56 1.1
ili_10      0.59 3.1
ili_11      0.53 1.7
ili_12      0.62 3.4
ili_13      0.49 1.6
ili_14      0.54 2.6
