"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
6.55,5.46666666666667,1.83333333333333,3,5.35714285714286,6.26666666666667,2.8,4.69230769230769,4,7.11111111111111
5.15,6,2.66666666666667,3.625,5.21428571428571,5.13333333333333,4.6,5.15384615384615,4,5.66666666666667
5.75,6.06666666666667,2.83333333333333,3.125,5.92857142857143,5.06666666666667,2,5.23076923076923,4,8
5.25,6.2,2.33333333333333,3.875,5.5,5.86666666666667,3.2,5.92307692307692,4,6.11111111111111
3.85,4.33333333333333,1.91666666666667,3.75,4.42857142857143,4.26666666666667,4.8,3.84615384615385,4,4.88888888888889
3.65,5.66666666666667,2.41666666666667,2.625,5.64285714285714,5.33333333333333,6.6,5.92307692307692,4,5.33333333333333
4.75,6.66666666666667,2.91666666666667,3.75,5.78571428571429,5.73333333333333,2.6,5.84615384615385,4,7
6.15,6.13333333333333,2,2.75,5.35714285714286,5.06666666666667,2.6,4.38461538461539,4,5.55555555555556
3.85,4.33333333333333,1.58333333333333,3,4.78571428571429,4.4,4.6,5,4,3.66666666666667
5.95,6.6,2.33333333333333,3,5.35714285714286,5.2,4,6.76923076923077,4,7
5.6,7,2.33333333333333,3.75,5.85714285714286,5.6,3.4,5.84615384615385,4,6.55555555555556
7.05,6.4,2.58333333333333,3.375,4,4,5,5.61538461538461,4,4
5.6,6.06666666666667,3.08333333333333,4.375,5.92857142857143,4.33333333333333,2,5.07692307692308,4,7.77777777777778
4.6,6.33333333333333,2.58333333333333,3.5,5.85714285714286,6.13333333333333,4,4.92307692307692,4,5
2.3,4.93333333333333,2.33333333333333,4,6.14285714285714,6,3,5.69230769230769,4,5.22222222222222
7.15,4,2.83333333333333,4.125,5.78571428571429,4.93333333333333,1.6,5.76923076923077,4,8
3.95,6.6,2.08333333333333,2.625,6.21428571428571,6.2,4.2,5.76923076923077,4,5.33333333333333
4.4,5.6,2.58333333333333,3.875,5.57142857142857,5.66666666666667,3.8,5.30769230769231,4,5.88888888888889
6,7,1.91666666666667,4,6.78571428571429,7,2,6.23076923076923,4,7.44444444444444
4.85,6.86666666666667,2.75,4.25,6.71428571428571,6.26666666666667,3.2,4.69230769230769,4,6
3.9,4.8,2.16666666666667,3,6.21428571428571,4,5,3.92307692307692,4,6.66666666666667
6.5,6.06666666666667,2.33333333333333,3.75,5.42857142857143,4.66666666666667,3,6.38461538461539,4,5.66666666666667
5.3,6.4,1.91666666666667,3,6.14285714285714,5.93333333333333,4.8,5.92307692307692,4,5.22222222222222
6.6,5.93333333333333,2.08333333333333,4.625,6.07142857142857,6.2,3,7,4,7.77777777777778
4.55,4.26666666666667,2.16666666666667,2.875,4.07142857142857,4.13333333333333,5,4,4,3.66666666666667
4.4,5.8,2.16666666666667,3.75,5.92857142857143,5.13333333333333,4,4.84615384615385,4,4.88888888888889
5.6,6.06666666666667,1.91666666666667,3,5.64285714285714,6.4,2.4,6.76923076923077,4,7.88888888888889
5.3,6.46666666666667,2.58333333333333,3.375,6.64285714285714,5.8,6.2,6.30769230769231,4,5.22222222222222
5.35,7,2.41666666666667,3.25,6.42857142857143,6,5.2,5.61538461538461,4,6.22222222222222
4.95,6.73333333333333,2.33333333333333,3.5,6.35714285714286,5.53333333333333,2.4,6.30769230769231,4,5.66666666666667
6.85,6.46666666666667,2.16666666666667,2.875,2.5,2.53333333333333,4.2,3.61538461538462,4,1.44444444444444
5.15,5.93333333333333,2.75,3,6.28571428571429,6.73333333333333,2.4,6.38461538461539,4,6.66666666666667
6.6,6.93333333333333,2.91666666666667,4.625,6.14285714285714,6.53333333333333,1,6.69230769230769,4,7.77777777777778
4.9,6,2.33333333333333,3.375,5.71428571428571,5.2,3.8,4.38461538461539,4,7.22222222222222
4,6.13333333333333,1.16666666666667,2.625,5.28571428571429,5.4,3.6,5,4,5.11111111111111
3.4,5.73333333333333,2.16666666666667,2.875,6.07142857142857,6.06666666666667,5.4,5.46153846153846,4,5.11111111111111
6.3,6.06666666666667,1.83333333333333,2.625,6.07142857142857,6.2,2.2,6.15384615384615,4,5.66666666666667
